관리번호,설치장소명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,상세위치,관리기관명,관리기관전화번호,데이터기준일자
A-46,서초아크빌아파트,서울특별시,서초구,서울특별시 서초구 서초대로48길 59,서울특별시 서초구 서초동 1567-1,37.49034239,127.0126118,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-42,신광주택,서울특별시,서초구,서울특별시 서초구 신반포로45길 85,서울특별시 서초구 잠원동 32-4,37.51317627,127.0159703,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-01,삼화빌라,서울특별시,서초구,서울특별시 서초구 강남대로109길 73-6,서울특별시 서초구 잠원동 10-34,37.5162633,127.0165196,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-02,잠원동방음언덕형공영주차장,서울특별시,서초구,서울특별시 서초구 강남대로101안길 41,서울특별시 서초구 잠원동 15-1,37.51565674,127.0165394,장애인경사로 입구,서울특별시 서초구청,02-2155-6742,2025-02-18
B-18,잠원동노인정,서울특별시,서초구,서울특별시 서초구 강남대로107길 24,서울특별시 서초구 잠원동 7-9,37.51788202,127.0173232,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-07,우정빌딩,서울특별시,서초구,서울특별시 서초구 신반포로41길 32,서울특별시 서초구 잠원동 44-1,37.51132427,127.0165127,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-08,신영빌딩,서울특별시,서초구,서울특별시 서초구 신반포로43길 21,서울특별시 서초구 잠원동 45-10,37.5111014,127.0175059,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-03,그린타운1차,서울특별시,서초구,서울특별시 서초구 주흥5길 20,서울특별시 서초구 반포동 730-2,37.50480294,127.0186127,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-39,언구비공원,서울특별시,서초구,서울특별시 서초구 사평대로53길 110,서울특별시 서초구 반포동 709-5,37.50911895,127.0201338,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-12,골든허니빌,서울특별시,서초구,서울특별시 서초구 주흥15길 36,서울특별시 서초구 반포동 701-38,37.50821993,127.017265,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-62,언구비공원,서울특별시,서초구,서울특별시 서초구 사평대로53길 110,서울특별시 서초구 반포동 709-5,37.50911895,127.0201338,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-38,행복빌라,서울특별시,서초구,서울특별시 서초구 주흥길 31,서울특별시 서초구 반포동 728-47,37.5058706,127.0193344,CCTV폴옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-06,그린타운1차,서울특별시,서초구,서울특별시 서초구 주흥3길 34,서울특별시 서초구 반포동 730,37.50497498,127.0183131,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-05,한양빌,서울특별시,서초구,서울특별시 서초구 주흥7길 10-4,서울특별시 서초구 반포동 728-26,37.50536467,127.0188809,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-09,효성빌라,서울특별시,서초구,서울특별시 서초구 사평대로20길 99,서울특별시 서초구 반포동 100-8,37.49497798,126.9964475,CCTV폴옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-10,덕산빌라,서울특별시,서초구,서울특별시 서초구 사평대로22길 96,서울특별시 서초구 반포동 101-7,37.49529876,126.9972609,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-11,효성빌라,서울특별시,서초구,서울특별시 서초구 사평대로14길 32,서울특별시 서초구 반포동 612-110,37.49702479,126.9941464,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-13,반포4동주민센터,서울특별시,서초구,서울특별시 서초구 사평대로28길 70,서울특별시 서초구 반포동 74-7,37.49748589,127.0003286,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-14,레이나,서울특별시,서초구,서울특별시 서초구 서래로4길 29,서울특별시 서초구 반포동 76-7,37.49699809,127.000036,도로변,서울특별시 서초구청,02-2155-6742,2025-02-18
B-15,그린하우스,서울특별시,서초구,서울특별시 서초구 서래로2길 58,서울특별시 서초구 반포동 81-10,37.49580812,127.0013979,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-16,한솔빌라,서울특별시,서초구,서울특별시 서초구 동광로49길 23,서울특별시 서초구 반포동 83-4,37.49444876,127.0021774,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-17,혜원빌리지,서울특별시,서초구,서울특별시 서초구 동광로47길 7,서울특별시 서초구 반포동 84-13,37.49412711,127.0013824,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-40,정광빌라,서울특별시,서초구,서울특별시 서초구 서래로5길 37-22,서울특별시 서초구 반포동 107-57,37.49697207,126.9959918,CCTV폴옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-35,효성빌라 정문,서울특별시,서초구,서울특별시 서초구 사평대로20길 76,서울특별시 서초구 반포동 591-1,37.49553884,126.996093,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-04,하우시빌,서울특별시,서초구,서울특별시 서초구 서래로2길 21,서울특별시 서초구 반포동 78-13,37.49612393,126.999567,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-19,대도빌라,서울특별시,서초구,서울특별시 서초구 방배로40길 31,서울특별시 서초구 방배동 12,37.49509401,126.9910321,골목끝,서울특별시 서초구청,02-2155-6742,2025-02-18
B-20,동광방범3초소,서울특별시,서초구,서울특별시 서초구 동광로27길 60,서울특별시 서초구 방배동 1-119,37.49570129,126.993873,CCTV폴옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-25,프러쉬빌라,서울특별시,서초구,서울특별시 서초구 사평대로6길 72-12,서울특별시 서초구 방배동 12-35,37.49509882,126.9915798,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-24,밸류빌,서울특별시,서초구,서울특별시 서초구 방배로40길 15-23,서울특별시 서초구 방배동 12-63,37.49562829,126.9907688,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-22,삼호빌라2차,서울특별시,서초구,서울특별시 서초구 동광로27길 120,서울특별시 서초구 방배동 732,37.49708266,126.9915851,CCTV폴옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-26,이수공영주차장 ,서울특별시,서초구,서울특별시 서초구 동광로11길 111,서울특별시 서초구 방배동 762-3,37.49612683,126.9847959,주차장 뒤쪽,서울특별시 서초구청,02-2155-6742,2025-02-18
B-23,비욘디에아파트,서울특별시,서초구,서울특별시 서초구 사평대로6길 44,서울특별시 서초구 방배동 764,37.49616487,126.9912961,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-29,유성당빌딩,서울특별시,서초구,서울특별시 서초구 사평대로2길 19-19,서울특별시 서초구 방배동 756-7,37.49704223,126.9861424,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-30,서초이화어린이집,서울특별시,서초구,서울특별시 서초구 방배로39길 42,서울특별시 서초구 방배동 769-19,37.49422224,126.9867425,도로변,서울특별시 서초구청,02-2155-6742,2025-02-18
B-27,등대순복음교회,서울특별시,서초구,서울특별시 서초구 방배로43길 37,서울특별시 서초구 방배동 769-2,37.49531485,126.9863925,전기오토바이 충전소옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-34,선명빌딩,서울특별시,서초구,서울특별시 서초구 동광로7길 28,서울특별시 서초구 방배동 789-1,37.49221021,126.9852783,CCTV폴옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-31,아스트로,서울특별시,서초구,서울특별시 서초구 방배로37길 35,서울특별시 서초구 방배동 794-1,37.49307944,126.9879262,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-45,가문실버복지센터,서울특별시,서초구,서울특별시 서초구 방배중앙로 174-9,서울특별시 서초구 방배동 769-25,37.49475247,126.9865987,CCTV폴옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-76,O627 스튜디어,서울특별시,서초구,서울특별시 서초구 방배로42길 11,서울특별시 서초구 방배동 18-21,37.49537751,126.989408,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-77,라파예트빌라,서울특별시,서초구,서울특별시 서초구 사평대로6길 91,서울특별시 서초구 방배동 1-43,37.49473078,126.9932097,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-48,몽드빌Ⅰ,서울특별시,서초구,서울특별시 서초구 방배로19길 36-16,서울특별시 서초구 방배동 321-4,37.48542776,126.99288,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-51,효성교회,서울특별시,서초구,서울특별시 서초구 서초대로34가길 43,서울특별시 서초구 방배동 889-4,37.48660045,126.9983582,교통반사경옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-64,방배동원빌라,서울특별시,서초구,서울특별시 서초구 서초대로30길 11-21,서울특별시 서초구 방배동 891-1,37.48764659,126.9972523,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-65,해경주택,서울특별시,서초구,서울특별시 서초구 서초대로34길 22,서울특별시 서초구 방배동 893-7,37.48841012,126.9982822,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-66,셀빨래방 방배점,서울특별시,서초구,서울특별시 서초구 방배로18길 13-14,서울특별시 서초구 방배동 902-12,37.48554686,126.9966041,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-56,홈스테이드,서울특별시,서초구,서울특별시 서초구 방배로11길 8,서울특별시 서초구 방배동 911-12,37.48188767,126.9960188,도로변,서울특별시 서초구청,02-2155-6742,2025-02-18
B-47,삼현빌딩,서울특별시,서초구,서울특별시 서초구 방배로22길 19,서울특별시 서초구 방배동 899-9,37.48656515,126.9957511,통신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-57,서초구립 방배1동 초록꿈어린이집,서울특별시,서초구,서울특별시 서초구 효령로23길 16,서울특별시 서초구 방배동 916-7,37.48116398,126.9939738,도로변,서울특별시 서초구청,02-2155-6742,2025-02-18
B-58,서초구립 방배1동 초록꿈어린이집,서울특별시,서초구,서울특별시 서초구 효령로23길 16,서울특별시 서초구 방배동 916-7,37.48116398,126.9939738,도로변,서울특별시 서초구청,02-2155-6742,2025-02-18
B-55,방배1동주민센터,서울특별시,서초구,서울특별시 서초구 효령로29길 43,서울특별시 서초구 방배동 922-18,37.48336166,126.9945139,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-59,미주하이츠빌라,서울특별시,서초구,서울특별시 서초구 효령로23길 40,서울특별시 서초구 방배동 920-28,37.48215109,126.9933709,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-61,하이택,서울특별시,서초구,서울특별시 서초구 효령로27길 74,서울특별시 서초구 방배동 927-13,37.48391619,126.9937797,통신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-60,서초예랑어린이집,서울특별시,서초구,서울특별시 서초구 효령로23길 82,서울특별시 서초구 방배동 929-4,37.48383097,126.9923708,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-49,샬롬빌,서울특별시,서초구,서울특별시 서초구 방배로23길 46,서울특별시 서초구 방배동 939-20,37.48575665,126.9918399,도로변,서울특별시 서초구청,02-2155-6742,2025-02-18
B-54,카페마로니에,서울특별시,서초구,서울특별시 서초구 방배로19길 14,서울특별시 서초구 방배동 935-20,37.48526971,126.9941853,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-53,코알라홈,서울특별시,서초구,서울특별시 서초구 서초대로22길 41,서울특별시 서초구 방배동 935-18,37.48545736,126.9936441,통신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-68,삼성아트빌,서울특별시,서초구,서울특별시 서초구 방배로18길 24-18,서울특별시 서초구 방배동 906-11,37.48480327,126.997078,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-63,선빌딩,서울특별시,서초구,서울특별시 서초구 서초대로30길 9,서울특별시 서초구 방배동 141-32,37.4878674,126.996144,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
B-50,델피노,서울특별시,서초구,서울특별시 서초구 방배로23길 62,서울특별시 서초구 방배동 941-17,37.48543358,126.9910159,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
C-25,파크캐슬,서울특별시,서초구,서울특별시 서초구 효령로21길 6,서울특별시 서초구 방배동 978-31,37.48029093,126.992877,도로변,서울특별시 서초구청,02-2155-6742,2025-02-18
C-04,남태령하천 입구,서울특별시,서초구,서울특별시 서초구 전원말안1길 10,서울특별시 서초구 방배동 2732-35,37.46706512,126.9885627,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
C-03,임강건설,서울특별시,서초구,서울특별시 서초구 전원말안길 21,서울특별시 서초구 방배동 2739-16,37.46759444,126.9903172,CCTV폴옆,서울특별시 서초구청,02-2155-6742,2025-02-18
C-11,녹차원 본사,서울특별시,서초구,서울특별시 서초구 도구로9길 15,서울특별시 서초구 방배동 433-1,37.48198142,126.9867608,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
C-21,신호빌5차,서울특별시,서초구,서울특별시 서초구 방배천로2안길 89,서울특별시 서초구 방배동 456-12,37.48098284,126.9839312,보안등옆,서울특별시 서초구청,02-2155-6742,2025-02-18
C-05,정우빌딩,서울특별시,서초구,서울특별시 서초구 방배천로24길 17,서울특별시 서초구 방배동 422-6,37.48490995,126.9844121,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
C-20,서초지역아동센터,서울특별시,서초구,서울특별시 서초구 방배천로8길 36,서울특별시 서초구 방배동 464-12,37.48040665,126.9846519,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
C-19,청두어린이공원,서울특별시,서초구,서울특별시 서초구 청두곶8길 3,서울특별시 서초구 방배동 460-23,37.48052011,126.9855369,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
C-01,우리분재,서울특별시,서초구,서울특별시 서초구 전원말8길 24,서울특별시 서초구 방배동 2898-5,37.46451349,126.9910396,CCTV폴옆,서울특별시 서초구청,02-2155-6742,2025-02-18
C-15,도구머리 숲놀이터 입구,서울특별시,서초구,서울특별시 서초구 도구로1길 33,서울특별시 서초구 방배동 528,37.47852876,126.9876699,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
C-06,사랑나눔요양센터,서울특별시,서초구,서울특별시 서초구 서초대로4길 23,서울특별시 서초구 방배동 954-1,37.484677,126.9854853,도로변,서울특별시 서초구청,02-2155-6742,2025-02-18
C-07,장애인사회연구소,서울특별시,서초구,서울특별시 서초구 서초대로4길 45,서울특별시 서초구 방배동 954-14,37.48380696,126.9860602,보안등옆,서울특별시 서초구청,02-2155-6742,2025-02-18
C-09,GS25 디에이치방배가온점,서울특별시,서초구,서울특별시 서초구 도구로 79,서울특별시 서초구 방배동 954-22,37.48369213,126.9864818,우편물보관함옆,서울특별시 서초구청,02-2155-6742,2025-02-18
C-23,요아정 방배점,서울특별시,서초구,서울특별시 서초구 방배천로4안길 26,서울특별시 서초구 방배동 451-1,37.47928527,126.9834247,CCTV폴옆,서울특별시 서초구청,02-2155-6742,2025-02-18
C-17,신구빌라,서울특별시,서초구,서울특별시 서초구 청두곶길 14,서울특별시 서초구 방배동 473-1,37.47797421,126.9854592,전신주옆,서울특별시 서초구청,02-2155-6742,2025-02-18
